node,distance
0,0
1,17
2,23
3,13
4,4
5,7
6,9
7,9
8,10
9,19
10,14
11,8
12,15
13,16
14,14
15,21
16,16
17,11
18,17
19,39
20,15
21,13
22,20
23,17
24,15
25,17
26,15
27,11
28,15
29,18
30,14
31,15
32,19
33,17
34,18
35,24
36,16
37,15
38,9
39,7
40,11
41,8
42,17
43,18
44,18
45,21
46,22
47,7
48,13
49,14
50,11
51,15
52,15
53,27
54,17
55,23
56,8
57,19
58,7
59,4
60,18
61,18
62,18
63,19
64,13
65,8
66,23
67,16
68,21
69,17
70,8
71,9
72,21
73,10
74,15
75,17
76,14
77,18
78,17
79,9
80,15
81,13
82,15
83,16
84,14
85,13
86,22
87,20
88,11
89,16
90,16
91,21
92,11
93,18
94,19
95,15
96,15
97,15
98,13
99,16
100,14
101,5
102,12
103,10
104,10
105,9
106,21
107,14
108,14
109,14
110,16
111,10
112,16
113,14
114,12
115,15
116,9
117,11
118,17
119,16
120,14
121,8
122,15
123,15
124,19
125,17
126,7
127,20
128,15
129,14
130,13
131,17
132,16
133,14
134,10
135,18
136,7
137,15
138,15
139,19
140,16
141,3
142,15
143,23
144,18
145,14
146,18
147,20
148,21
149,11
150,14
151,13
152,15
153,13
154,7
155,15
156,22
157,22
158,16
159,10
160,15
161,10
162,19
163,24
164,13
165,6
166,18
167,12
168,17
169,20
170,15
171,11
172,7
173,9
174,12
175,13
176,15
177,6
178,14
179,18
180,16
181,21
182,20
183,21
184,16
185,13
186,17
187,14
188,18
189,23
190,17
191,8
192,13
193,18
194,16
195,14
196,30
197,16
198,12
199,16
200,11
201,17
202,22
203,17
204,16
205,16
206,20
207,5
208,19
209,17
210,9
211,17
212,14
213,17
214,27
215,17
216,16
217,17
218,10
219,16
220,19
221,16
222,24
223,14
224,15
225,20
226,15
227,14
228,24
229,20
230,8
231,14
232,17
233,25
234,10
235,17
236,17
237,9
238,31
239,21
240,20
241,18
242,14
243,25
244,22
245,13
246,14
247,11
248,20
249,17
250,17
251,15
252,9
253,18
254,16
255,14
256,17
257,22
258,16
259,17
260,13
261,17
262,22
263,15
264,12
265,13
266,22
267,18
268,20
269,19
270,12
271,20
272,17
273,12
274,14
275,12
276,13
277,22
278,13
279,15
280,16
281,12
282,12
283,19
284,16
285,24
286,13
287,20
288,14
289,25
290,17
291,15
292,14
293,15
294,15
295,20
296,13
297,8
298,17
299,16
300,11
